question_column,canonical_text,topic,confidence,needs_review,reason,stage
158,nan,F 居住,0.78,False,文字“朋友或同學”看起來像選項中描述同住者（例如與誰同住），屬於居住/同住成員範疇，故歸類為F 居住。,"second(A 基本資料,B 教育,F 居住)"
159,nan,B 教育,0.92,False,選填志願/教育,first
160,nan,B 教育,0.9,False,學校社團,first
161,nan,A 基本資料,0.8,False,社團參加/背景,first
162,nan,C 工作,0.86,False,題目文字為「服務性質」，通常指受訪者提供的服務種類或工作性質，屬於職業/就業範疇，應歸於工作（C）。,"second(A 基本資料,B 教育,C 工作)"
163,nan,C 工作,0.9,False,題目文字為「技能性質」，指涉技能類型或工作所需技能，屬於職業/工作內容範疇，因此歸類為工作（C）。,"second(A 基本資料,B 教育,C 工作)"
164,nan,D 交往、婚姻與配偶資訊,0.9,False,題目關鍵詞為「聯誼性質」，明確指涉交友/約會/感情互動等交往情境，屬於交往/婚姻/配偶類別，故歸為 D。,"second(A 基本資料,B 教育,D 交往、婚姻與配偶資訊)"
165,nan,C 工作,0.65,True,題目標記為「學術性質」，通常是詢問機構或職務屬性（如學術性/產業性），屬於工作/雇主類別，因此應歸為 C 工作。,"second(A 基本資料,B 教育,C 工作)"
166,nan,A 基本資料,0.2,True,題目內容缺失（canonical 為 nan），僅有「(7)其他(請說明)____」無任何語意線索，無法判斷所屬領域。第一次分類也傾向 A，但信心很低；因此被迫,"second(A 基本資料,B 教育,C 工作)"
167,nan,B 教育,0.9,False,學校/考試,first
168,nan,B 教育,0.9,False,學歷,first
169,nan,B 教育,0.86,False,留學/語言考試,first
170,nan,B 教育,0.6,True,題目僅顯示「高普考」（公務員考試），屬於考試/學業資格範疇，較符合教育類（考試/學歷/資格），非一般人口基本資料或工作內容。,"second(A 基本資料,B 教育,C 工作)"
171,nan,B 教育,0.76,False,證照,first
172,nan,B 教育,0.25,True,題目文字為 nan，題目版本僅顯示「其他(請說明)」，無任何內容可判斷屬性領域。原先判定為基本資料但信心很低，故臨時選 A 作為候選並標示需審查。,"second(A 基本資料,B 教育,C 工作)"
173,nan,B 教育,0.86,False,補習支出,first
174,nan,B 教育,0.95,False,學業成績,first
175,nan,B 教育,0.78,False,證照,first
176,nan,B 教育,0.92,False,在學/畢業,first
177,nan,B 教育,0.95,False,學歷/就學年分,first
178,nan,C 工作,0.9,False,打工經驗/就業,first
179,nan,C 工作,0.9,False,學生打工/每週工時,first
180,nan,C 工作,0.92,False,工時,first
181,nan,C 工作,0.85,False,打工/工作,first
182,nan,C 工作,0.15,True,題目內容為空或僅顯示「其他(請說明)」，無法判斷具體屬性是教育或工作等，僅能臆測為一般基本資料類別；因資訊不足，需複審。,"second(A 基本資料,B 教育,C 工作)"
183,nan,B 教育,0.85,False,學習,first
184,nan,B 教育,0.85,False,就學,first
185,nan,B 教育,0.87,False,畢業後計劃,first
186,nan,H 父母,0.85,False,父母,first
187,nan,C 工作,0.78,False,職業,first
188,nan,F 居住,0.85,False,選項「朋友或同學」典型出現在「同住/與誰同住」類型問題（如：與誰同住？配偶、子女、父母、朋友或同學等），屬於居住/同住成員範疇，故判為 F 居住。,"second(A 基本資料,B 教育,F 居住)"
189,nan,B 教育,0.85,False,題目版本提及「學校」及「你最親近的朋友是否大都準備…」，明顯為就學情境中有關朋友在學校的準備/學習行為，屬教育領域，故為 B 教育。,"second(B 教育,A 基本資料,C 工作)"
190,nan,B 教育,0.86,False,學業/就業,first
191,nan,A 基本資料,0.9,False,題目詢問是否今年第一次接受訪問，屬於受訪者的調查參與/基本紀錄，非教育或工作相關，宜歸類為基本資料。,"second(A 基本資料,B 教育,C 工作)"
192,nan,C 工作,0.9,False,工作,first
193,nan,C 工作,0.88,False,工作,first
194,nan,C 工作,0.85,False,工作地點,first
195,nan,C 工作,0.9,False,工作,first
196,nan,C 工作,0.05,True,題目文本為 'nan'，內容缺失無法判定主題。基於先前標記預設為 A（基本資料），但信心極低，需人工審核。,"second(A 基本資料,B 教育,C 工作)"
197,nan,C 工作,0.92,False,離職/工作,first
198,nan,C 工作,0.75,False,僅有「單位」，在問卷語境中最常指受訪者的工作單位或所屬部門（雇主/工作單位），屬就業/職業相關資訊，故歸類為 C 工作。若為其他含義（如量測單位）則會不同，但此,"second(A 基本資料,B 教育,C 工作)"
199,nan,C 工作,0.92,False,職業/工作,first
200,nan,C 工作,0.88,False,工作/雇主,first
201,nan,C 工作,0.92,False,工作/公司規模,first
202,nan,C 工作,0.88,False,工作,first
203,nan,C 工作,0.9,False,工作,first
204,nan,C 工作,0.9,False,工作,first
205,nan,C 工作,0.85,False,工作自主性,first
206,nan,C 工作,0.92,False,工作,first
207,a08d01｜平常您每天上下班總共需要多少交通時間?,C 工作,0.95,False,通勤/工作,first
208,nan,C 工作,0.9,False,工作收入,first
209,nan,K 家庭決策與支出,0.9,False,題目版本為「每月平均約_____元」，明顯在問每月金額（支出/費用）數值，屬於家計/家庭支出類別，應歸入家庭決策與支出（K）。,"second(A 基本資料,B 教育,K 家庭決策與支出)"
210,nan,K 家庭決策與支出,0.9,False,題目「每月平均約_____元」是在詢問每月金額，屬於家計/支出項目，應歸入家庭決策與支出（K）。非教育或一般人口基本屬性，語意明確。,"second(A 基本資料,B 教育,K 家庭決策與支出)"
211,nan,C 工作,0.9,False,工作收入,first
212,nan,C 工作,0.9,False,工作收入,first
213,nan,C 工作,0.9,False,工作收入/薪資,first
214,nan,C 工作,0.92,False,兼差/工作,first
215,nan,C 工作,0.95,False,職業/工作,first
216,nan,D 交往、婚姻與配偶資訊,0.95,False,結婚狀態,first
217,nan,D 交往、婚姻與配偶資訊,0.92,False,婚姻,first
218,太太)是在哪一年出生的?民國__年,D 交往、婚姻與配偶資訊,0.92,False,配偶出生年,first
219,nan,D 交往、婚姻與配偶資訊,0.9,False,配偶/健康,first
220,nan,D 交往、婚姻與配偶資訊,0.92,False,配偶工作,first
221,nan,C 工作,0.9,False,職業/工作,first
222,nan,D 交往、婚姻與配偶資訊,0.85,False,配偶/工作,first
223,nan,D 交往、婚姻與配偶資訊,0.92,False,配偶/工作,first
224,nan,D 交往、婚姻與配偶資訊,0.85,False,配偶,first
225,nan,F 居住,0.9,False,居住地/縣市鄉鎮,first
226,nan,C 工作,0.86,False,工作/通勤時間,first
227,nan,C 工作,0.76,False,工作,first
228,nan,D 交往、婚姻與配偶資訊,0.88,False,配偶工作時數,first
229,nan,D 交往、婚姻與配偶資訊,0.8,False,配偶工作,first
230,nan,C 工作,0.92,False,找工作,first
231,nan,D 交往、婚姻與配偶資訊,0.92,False,配偶/找工作方式,first
232,nan,H 父母,0.86,False,父母/態度量表,first
233,b01｜請問您在未來有沒有移民到臺灣以外地區的打算?,F 居住,0.9,False,居住/移民,first
234,b02｜您打算移民的主要原因是什麼?,F 居住,0.85,False,居住/搬家,first
235,nan,H 父母,0.92,False,父母,first
236,nan,G 子女,0.8,False,子女,first
237,nan,J 兄弟姊妹,0.92,False,兄弟姊妹,first
238,nan,F 居住,0.9,False,題目版本為回答選項「其他親人」，常見於詢問同住成員或居住安排（誰與您同住），屬居住主題。,"second(A 基本資料,B 教育,F 居住)"
239,nan,F 居住,0.95,False,搬家/居住,first
240,nan,C 工作,0.85,False,工作變動,first
241,nan,H 父母,0.95,False,父母同住,first
242,nan,F 居住,0.9,False,同住成員,first
243,nan,D 交往、婚姻與配偶資訊,0.86,False,配偶父母,first
244,nan,B 教育,0.75,False,同學/學校,first
245,nan,A 基本資料,0.8,False,題目文本看似在詢問「朋友__人」，即朋友人數或與朋友相關的個人基本資料，並非教育或工作相關，故歸為基本資料（A）。,"second(A 基本資料,B 教育,C 工作)"
246,nan,F 居住,0.8,False,同住成員/其他親屬人數,first
247,nan,F 居住,0.75,False,雖然題目正文為 nan，但版本欄顯示「f07b14｜(14)其他__人」，此類選項文字通常出現在「同住/居住成員」的題目（例如與誰同住：其他__人），語意指向居,"second(A 基本資料,B 教育,F 居住)"
248,nan,J 兄弟姊妹,0.92,False,兄弟,first
249,nan,J 兄弟姊妹,0.9,False,姊妹數,first
250,nan,G 子女,0.92,False,兒子/子女,first
251,nan,G 子女,0.9,False,子女/女兒,first
252,nan,H 父母,0.78,False,祖父母,first
253,nan,D 交往、婚姻與配偶資訊,0.85,False,配偶,first
254,nan,J 兄弟姊妹,0.9,False,兄弟姊妹數,first
255,nan,J 兄弟姊妹,0.9,False,兄弟姊妹,first
256,nan,F 居住,0.95,False,搬家/居住,first
257,nan,H 父母,0.92,False,父母,first
258,nan,H 父母,0.92,False,父母/經濟支持,first
259,nan,H 父母,0.94,False,父母/經濟支持,first
260,nan,K 家庭決策與支出,0.85,False,題目文字為「若有，平均每個月大約__元」，在缺乏其他上下文下最可能在詢問每月金額（支出或相關家計數值），屬於家庭支出/家計範疇，故分類為 K。,"second(A 基本資料,B 教育,K 家庭決策與支出)"
261,nan,D 交往、婚姻與配偶資訊,0.9,False,配偶失業保險,first
262,nan,D 交往、婚姻與配偶資訊,0.8,False,題目文字僅為「若是，自__月份」，為典型的時間性後續問項（例如「若有工作，從哪個月份開始」）。在三個候選主題中，此類詢問最常用於工作起始時間，故歸為 C 工作；,"second(A 基本資料,B 教育,C 工作)"
263,nan,D 交往、婚姻與配偶資訊,0.65,True,文字僅有「領到__月份」，最常見語境為領到薪資或工作報酬的月份，屬工作/收入相關，因此歸入C 工作。但詞句模糊，亦可能指退休金、補助或獎學金等，故留有一定不確定,"second(A 基本資料,B 教育,C 工作)"
264,nan,K 家庭決策與支出,0.92,False,支出,first
265,nan,K 家庭決策與支出,0.86,False,儲蓄/家計/支出,first
27,nan,B 教育,0.92,False,學校/教育/就讀地區,first
33,nan,H 父母,0.82,False,父母,first
34,nan,H 父母,0.9,False,父母（母親關注學業）,first
35,nan,H 父母,0.9,False,父母,first
36,nan,H 父母,0.92,False,父母,first
64,nan,B 教育,0.95,False,學歷/教育程度,first
114,nan,K 家庭決策與支出,0.9,False,題目為「若有，平均每個月大約__元」，詢問每月金額數值，屬支出/家計項目，應分類為家庭決策與支出（K）。,"second(A 基本資料,B 教育,K 家庭決策與支出)"
126,nan,A 基本資料,0.85,False,訪問時間,first
127,nan,A 基本資料,0.78,False,訪問結束時間,first
128,nan,A 基本資料,0.8,False,訪問時間,first
266,nan,B 教育,0.92,False,科系/教育,first
267,nan,B 教育,0.95,False,學校/公立私立,first
268,nan,B 教育,0.92,False,畢業/肄業/在學年級,first
269,nan,F 居住,0.87,False,居住,first
270,nan,F 居住,0.92,False,居住地/住哪裡,first
271,nan,C 工作,0.9,False,打工,first
272,nan,C 工作,0.9,False,工作/工時,first
273,nan,C 工作,0.9,False,打工/工作經驗,first
274,nan,C 工作,0.92,False,工作,first
275,nan,H 父母,0.85,False,父母,first
276,nan,H 父母,0.9,False,父母,first
277,nan,H 父母,0.93,False,父母,first
278,nan,H 父母,0.93,False,父母,first
279,nan,B 教育,0.92,False,教育/求學計畫,first
280,nan,B 教育,0.92,False,教育/討論求學計畫,first
281,nan,J 兄弟姊妹,0.95,False,兄弟姊妹,first
282,nan,B 教育,0.89,False,升學/同儕,first
283,nan,H 父母,0.95,False,父母,first
284,nan,B 教育,0.9,False,班級幹部/教育,first
285,nan,C 工作,0.88,False,職務/幹部,first
286,nan,B 教育,0.86,False,學歷,first
287,nan,H 父母,0.92,False,父親,first
288,nan,B 教育,0.92,False,教育/父母,first
289,nan,B 教育,0.92,False,教育/老師影響,first
290,nan,B 教育,0.9,False,教育,first
291,nan,J 兄弟姊妹,0.92,False,兄弟姊妹,first
292,nan,B 教育,0.92,False,雙修/教育,first
293,nan,B 教育,0.95,False,輔系/學業,first
294,nan,B 教育,0.9,False,教育,first
295,nan,B 教育,0.92,False,重考/教育,first
296,nan,B 教育,0.92,False,重修/在學/教育,first
297,nan,B 教育,0.95,False,轉系/轉學,first
298,nan,B 教育,0.92,False,延畢/教育,first
299,nan,B 教育,0.9,False,就學/學校經驗,first
300,nan,B 教育,0.93,False,在學活動/社團,first
301,nan,A 基本資料,0.75,False,社團參加,first
302,nan,B 教育,0.9,False,詢問是否參加「服務性質社團」，屬於課外活動/社團參與，與就學/教育經驗相關，應歸入教育類。,"second(A 基本資料,B 教育,C 工作)"
303,nan,B 教育,0.82,False,社團/課外活動/技能性質,first
304,nan,D 交往、婚姻與配偶資訊,0.92,False,題目詢問是否參加「聯誼性質社團」，屬於與交往／約會／配偶相關的社交行為，應歸入交往、婚姻與配偶資訊類。非人口基本資料或教育事項。,"second(A 基本資料,B 教育,D 交往、婚姻與配偶資訊)"
305,nan,B 教育,0.9,False,社團/學術,first
306,nan,B 教育,0.75,False,社團/學校,first
307,nan,B 教育,0.92,False,研究所考試/教育,first
308,nan,B 教育,0.92,False,學歷/技能檢定,first
309,nan,C 工作,0.9,False,工作/工時,first
310,nan,C 工作,0.86,False,幹部/職務,first
311,nan,A 基本資料,0.92,False,詢問過去一年是否參加義工服務，為個人背景／社會參與類基本資料，並非教育或工作相關，因此歸入A。,"second(A 基本資料,B 教育,C 工作)"
312,nan,A 基本資料,0.85,False,詢問過去一年平均每月參加義工服務次數屬於個人背景/行為特徵的基本資料項目，非受雇工作或教育相關，因此歸入 A（基本資料）。,"second(A 基本資料,B 教育,C 工作)"
313,nan,H 父母,0.85,False,父母,first
314,nan,H 父母,0.92,False,母親影響,first
315,nan,B 教育,0.9,False,教育/畢業後計畫,first
316,nan,B 教育,0.9,False,學歷/教育,first
317,nan,J 兄弟姊妹,0.9,False,兄弟姊妹,first
318,nan,B 教育,0.92,False,朋友升學,first
319,nan,B 教育,0.95,False,學業/畢業後打算,first
320,nan,B 教育,0.9,False,學歷/研究所,first
321,nan,C 工作,0.92,False,工作/薪資,first
322,nan,C 工作,0.93,False,工作收入,first
323,nan,C 工作,0.9,False,工作,first
324,nan,C 工作,0.95,False,職位變動,first
325,nan,C 工作,0.95,False,工作地點,first
326,nan,C 工作,0.9,False,工作內容,first
327,nan,C 工作,0.82,False,工作,first
328,nan,C 工作,0.9,False,工作,first
329,nan,C 工作,0.92,False,工作地點,first
330,nan,C 工作,0.92,False,工作/收入,first
331,nan,C 工作,0.75,False,題目文字為「平均每個月約_元」，語意最常見是詢問每月金額（通常為收入/薪資）；收入/工資屬於工作主題，因此分類為 C 工作。若實為其他每月支出（例如學費或生活費,"second(A 基本資料,B 教育,C 工作)"
332,nan,C 工作,0.92,False,工作收入/獎金,first
333,nan,K 家庭決策與支出,0.9,False,題目版本均為「每月平均約__元」，屬金額/每月支出或家計量度，應歸於家庭支出/家計類別，而非人口基本資料或教育。,"second(A 基本資料,B 教育,K 家庭決策與支出)"
334,nan,K 家庭決策與支出,0.83,False,題目文本為「平均每個月約_元」，詢問每月金額，最符合家庭開銷/家計支出主題；非人口基本資料或教育相關，因此歸類為K。,"second(A 基本資料,B 教育,K 家庭決策與支出)"
335,nan,C 工作,0.9,False,兼差/工作/雇主,first
336,nan,C 工作,0.92,False,工作收入,first
337,nan,C 工作,0.95,False,工作/工時,first
338,nan,C 工作,0.9,False,找工作,first
339,nan,C 工作,0.45,True,題目片段僅為「又__週」，關鍵字為「週（week）」，最常出現在詢問頻率或每週次數的項目；在候選主題中最可能對應於工作相關問項（例如每週工作幾天/幾小時）。因原,"second(A 基本資料,B 教育,C 工作)"
340,nan,D 交往、婚姻與配偶資訊,0.95,False,婚姻狀況/婚姻變動,first
341,nan,D 交往、婚姻與配偶資訊,0.95,False,配偶教育,first
342,nan,H 父母,0.9,False,父母,first
343,nan,D 交往、婚姻與配偶資訊,0.92,False,配偶工作,first
344,nan,C 工作,0.9,False,工作/離職,first
345,nan,D 交往、婚姻與配偶資訊,0.86,False,配偶/工作,first
346,nan,C 工作,0.9,False,工作地點,first
347,nan,C 工作,0.85,False,找工作/尋職週數,first
348,a24a02｜請問您結婚的時候:男方若有準備聘金，當時大約是__元,D 交往、婚姻與配偶資訊,0.95,False,結婚/聘金,first
349,a24b01｜請問您結婚的時候，女方是否準備嫁妝?,D 交往、婚姻與配偶資訊,0.92,False,結婚,first
350,nan,D 交往、婚姻與配偶資訊,0.93,False,結婚/嫁妝,first
351,a26b｜請問當初您的父母是否贊成這門親事?,H 父母,0.9,False,父母,first
352,b03z01｜您的父母或配偶父母有沒有定居在臺灣以外地區?,H 父母,0.95,False,父母,first
353,b03z02｜您的子女或子女的配偶有沒有定居在臺灣以外地區?,G 子女,0.95,False,子女,first
354,nan,C 工作,0.87,False,工作,first
355,nan,F 居住,0.9,False,同住,first
356,nan,F 居住,0.92,False,同住/配偶外祖母,first
357,nan,F 居住,0.9,False,同住/同住成員,first
358,nan,J 兄弟姊妹,0.95,False,兄弟姊妹/資助,first
359,nan,J 兄弟姊妹,0.88,False,兄弟姊妹/資助,first
360,nan,K 家庭決策與支出,0.9,False,支出,first
361,nan,K 家庭決策與支出,0.8,False,支出/資助,first
362,nan,K 家庭決策與支出,0.9,False,保險支出,first
363,nan,K 家庭決策與支出,0.92,False,支出,first
364,nan,A 基本資料,0.95,False,出生年,first
365,nan,A 基本資料,0.85,False,訪問經驗,first
366,nan,B 教育,0.92,False,轉學/學校變動,first
367,nan,B 教育,0.87,False,學校/就讀地區,first
368,nan,B 教育,0.92,False,學校/就讀地區,first
369,nan,B 教育,0.95,False,就學/學校代碼,first
370,nan,B 教育,0.85,False,教育,first
371,nan,H 父母,0.95,False,父母,first
372,nan,H 父母,0.92,False,父母,first
373,nan,H 父母,0.88,False,父母,first
374,nan,H 父母,0.88,False,父母,first
375,nan,H 父母,0.86,False,父母/態度量表,first
376,nan,H 父母,0.9,False,父母/管教,first
377,nan,B 教育,0.92,False,就學/學校,first
378,nan,B 教育,0.92,False,科系/就學,first
379,nan,C 工作,0.92,False,工作/薪資,first
380,nan,C 工作,0.9,False,工作收入,first
381,nan,B 教育,0.85,False,學校/學歷,first
382,nan,B 教育,0.95,False,學校/教育,first
383,nan,B 教育,0.92,False,就讀學校/學校代碼,first
384,nan,B 教育,0.92,False,學校/學歷,first
385,nan,F 居住,0.95,False,居住/同住,first
386,nan,B 教育,0.9,False,教育/社團活動,first
387,nan,A 基本資料,0.85,False,社團幹部/背景,first
388,nan,A 基本資料,0.76,False,社團人數,first
389,nan,B 教育,0.92,False,學校/義工活動,first
390,nan,B 教育,0.85,False,學校/義工次數,first
391,nan,B 教育,0.88,False,升學/教育,first
392,nan,C 工作,0.92,False,工作/雇主改變,first
393,nan,C 工作,0.91,False,工作/工作內容變動,first
394,nan,C 工作,0.92,False,工作/職位改變,first
395,nan,C 工作,0.92,False,工作/工作地點變動,first
396,nan,C 工作,0.95,False,找工作方式,first
397,nan,C 工作,0.95,False,工作/行業,first
398,nan,C 工作,0.95,False,職業/工作,first
399,nan,C 工作,0.86,False,工作/雇主,first
400,nan,C 工作,0.9,False,工作/公司規模,first
401,nan,C 工作,0.92,False,通勤時間/工作,first
402,nan,C 工作,0.95,False,兼差/工作/收入,first
403,nan,C 工作,0.87,False,工作,first
404,nan,C 工作,0.92,False,失業保險/工作,first
405,nan,D 交往、婚姻與配偶資訊,0.92,False,結婚年次,first
406,她)的最高教育程度是什麼?,B 教育,0.95,False,學歷,first
407,nan,H 父母,0.92,False,父親/學歷,first
408,nan,D 交往、婚姻與配偶資訊,0.92,False,配偶健康,first
409,nan,C 工作,0.92,False,工作/雇主改變,first
410,nan,C 工作,0.92,False,工作/職位變動,first
411,nan,C 工作,0.92,False,工作,first
412,nan,C 工作,0.9,False,工作離職原因,first
413,nan,C 工作,0.8,False,工作,first
414,nan,C 工作,0.92,False,工作地點,first
415,她)這份工作的工作地點地區碼是?,C 工作,0.92,False,工作地點/工作,first
416,nan,C 工作,0.92,False,通勤/工作,first
417,nan,C 工作,0.9,False,工作/收入,first
418,nan,C 工作,0.9,False,工作收入,first
419,nan,C 工作,0.92,False,工作收入,first
420,nan,C 工作,0.95,False,工作收入,first
421,nan,C 工作,0.92,False,不工作原因,first
422,a16d｜總受訓或進修時間約__小時,B 教育,0.9,False,受訓/進修時數,first
423,nan,C 工作,0.92,False,找工作/月數,first
424,nan,F 居住,0.95,False,搬遷/居住,first
425,b05｜您搬遷的主要原因是什麼?,F 居住,0.95,False,搬遷/居住,first
426,b14a｜請問上一次訪問之後您有沒有新的工作機會或工作變動的機會?,C 工作,0.95,False,工作,first
427,b14b｜請問新的工作機會需要搬遷或個人遷移到外地嗎?,C 工作,0.95,False,工作,first
428,nan,F 居住,0.9,False,同住成員,first
429,b11b07｜這些同住的人包括已婚女兒__人,G 子女,0.95,False,子女/同住,first
430,nan,G 子女,0.92,False,子女/同住人數,first
431,nan,F 居住,0.86,False,同住成員,first
432,nan,F 居住,0.92,False,同住成員,first
433,nan,J 兄弟姊妹,0.92,False,兄弟姊妹/同住,first
434,nan,H 父母,0.91,False,父母/支出,first
435,nan,H 父母,0.9,False,父母/支出,first
436,nan,H 父母,0.86,False,父母/支出,first
437,nan,H 父母,0.92,False,父母/經濟支持,first
438,nan,K 家庭決策與支出,0.92,False,政府補助/家計,first
439,c09a｜在過去一年裡，您(和您配偶)房屋貸款支出平均每月__元,K 家庭決策與支出,0.95,False,支出,first
440,nan,A 基本資料,0.3,True,題目為「問卷類別」，非教育或工作相關，屬基本資料/問卷元資料性質，故歸入 A（基本資料）。,"second(A 基本資料,B 教育,C 工作)"
441,nan,A 基本資料,0.6,True,題目版本為「訪問時段」，屬於問卷訪問/時間屬性，並不涉及教育或工作。三個候選類別中最接近為基本資料/問卷背景欄位，故選 A。,"second(A 基本資料,B 教育,C 工作)"
5,nan,B 教育,0.95,False,學歷,first
41,nan,H 父母,0.9,False,父母,first
471,a14b｜請問這份兼差是在為誰工作?,C 工作,0.95,False,工作,first
472,nan,C 工作,0.95,False,工作,first
474,nan,D 交往、婚姻與配偶資訊,0.92,False,配偶/母親,first
475,nan,D 交往、婚姻與配偶資訊,0.95,False,配偶/學歷,first
477,她)目前有工作嗎?,C 工作,0.95,False,就業狀態,first
497,nan,A 基本資料,0.88,False,健康自評,first
498,a05b｜請問您所服的兵役類型是什麼?,A 基本資料,0.93,False,兵役/基本資料,first
499,a05c01｜請問您民國幾年幾月入伍?入伍年,A 基本資料,0.9,False,入伍,first
500,a05c02｜請問您民國幾年幾月入伍?入伍月,A 基本資料,0.92,False,兵役/入伍,first
501,a05c03｜請問您民國幾年幾月退伍?退伍年,C 工作,0.8,False,服役,first
502,a05c04｜請問您民國幾年幾月退伍?退伍月,A 基本資料,0.88,False,退伍,first
503,a07｜請問您是在為誰工作?,C 工作,0.9,False,工作,first
504,a09a01｜您這份工作平均每個月的總收入有多少?,C 工作,0.95,False,工作收入,first
505,a10b01｜在正常的情形下，您這份工作平均每週大約工作幾個小時?,C 工作,0.95,False,工作/工時,first
506,nan,C 工作,0.92,False,工作收入/工資,first
507,nan,C 工作,0.9,False,工作收入,first
508,nan,C 工作,0.92,False,工作/工時,first
509,機構換了嗎?,C 工作,0.85,False,題目詢問「機構換了嗎?」意指是否更換所屬機構/單位，屬於就業/職場相關的組織變動，應歸入工作類（C）。不是一般人口基本資料或明確的教育問題。,"second(A 基本資料,B 教育,C 工作)"
510,a11b02｜您目前的主要工作，跟上一次訪問時的主要工作比較起來工作內容改變了嗎?,C 工作,0.95,False,工作,first
511,a11b03｜您目前的主要工作，跟上一次訪問時的主要工作比較起來，職位改變了嗎?,C 工作,0.95,False,工作,first
512,機構負責人換人嗎?,C 工作,0.78,False,雇主,first
513,a11b06｜您目前的主要工作，跟上一次訪問時的主要工作比較起來，沒有改變?,C 工作,0.9,False,工作變動,first
514,a11b07｜受訪者反應:上次訪問時沒有工作,C 工作,0.92,False,工作,first
515,a11b08｜您目前的主要工作，跟上一次訪問時的主要工作比較起來，有其他變化,C 工作,0.95,False,工作變化,first
516,nan,C 工作,0.92,False,工作/離職/自願,first
517,a13d｜在您離開當時，您那份工作平均每週大約工作幾個小時?,C 工作,0.92,False,工時,first
518,a14d｜這份兼差平均每個月的總收入大約有多少?,C 工作,0.95,False,工作收入,first
519,nan,D 交往、婚姻與配偶資訊,0.92,False,結婚/婚姻事件年,first
520,nan,D 交往、婚姻與配偶資訊,0.95,False,結婚,first
521,nan,D 交往、婚姻與配偶資訊,0.95,False,結婚,first
522,nan,D 交往、婚姻與配偶資訊,0.9,False,結婚,first
523,nan,H 父母,0.95,False,父母,first
